,diff,y,x,band,spatial_ref,elevation_rema,geometry,index_icesat2,latitude,longitude,velocity,date,elevation_icesat2,dist
87695,1.7171382904052734,-1854036.9836734694,1843527.0312750603,1,0,24.069592,POINT (1843527.0312750603 -1854036.9836734694),1047387,-66.2679909588619,135.163084900807,,2022-01-09,25.78672981262207,25.447116751143408
88942,0.9080867767333984,-1854067.5224489796,1843527.0312750603,1,0,24.796759,POINT (1843527.0312750603 -1854067.5224489796),1047389,-66.2674589497674,135.16295753064418,,2022-01-09,25.704845428466797,22.881629427975454
88943,1.3872547149658203,-1854067.5224489796,1843556.5036086608,1,0,24.31759,POINT (1843556.5036086608 -1854067.5224489796),1047389,-66.2674589497674,135.16295753064418,,2022-01-09,25.704845428466797,6.696891402463961
90191,1.5103321075439453,-1854098.0612244897,1843585.9759422615,1,0,24.151495,POINT (1843585.9759422615 -1854098.0612244897),1047391,-66.26692761386427,135.16280802181942,,2022-01-09,25.661827087402344,12.82539287309472
90192,1.5926265716552734,-1854098.0612244897,1843615.448275862,1,0,24.0692,POINT (1843615.448275862 -1854098.0612244897),1047391,-66.26692761386427,135.16280802181942,,2022-01-09,25.661827087402344,19.33652966080969
91438,1.7063102722167969,-1854128.5999999999,1843585.9759422615,1,0,23.955517,POINT (1843585.9759422615 -1854128.5999999999),1047391,-66.26692761386427,135.16280802181942,,2022-01-09,25.661827087402344,26.713853889622467
91440,1.1666641235351562,-1854128.5999999999,1843644.9206094628,1,0,24.44596,POINT (1843644.9206094628 -1854128.5999999999),1047393,-66.26639451260314,135.16265782167363,,2022-01-09,25.61262321472168,13.72671371248752
92687,0.901275634765625,-1854159.1387755102,1843644.9206094628,1,0,24.711348,POINT (1843644.9206094628 -1854159.1387755102),1047393,-66.26639451260314,135.16265782167363,,2022-01-09,25.61262321472168,16.81913833726773
92688,1.0643062591552734,-1854159.1387755102,1843674.3929430635,1,0,24.479334,POINT (1843674.3929430635 -1854159.1387755102),1047395,-66.26586035873183,135.16250864009925,,2022-01-09,25.54364013671875,27.67343575211526
92689,2.484952926635742,-1854159.1387755102,1843703.865276664,1,0,23.058687,POINT (1843703.865276664 -1854159.1387755102),1047395,-66.26586035873183,135.16250864009925,,2022-01-09,25.54364013671875,24.32969979571318
93935,1.6211090087890625,-1854189.6775510204,1843674.3929430635,1,0,23.922531,POINT (1843674.3929430635 -1854189.6775510204),1047395,-66.26586035873183,135.16250864009925,,2022-01-09,25.54364013671875,19.96109539870671
